stage,stage_name,pipeline,dataset,mean_PR_AUC,std_PR_AUC,n_folds
0,raw,a,bank,0.41236,0.01184,15
1,impute,a,bank,0.41236,0.01184,15
1,ohe,a,bank,0.4098,0.01318,15
1,scale,a,bank,0.44147,0.01603,15
2,full,a,bank,0.45186,0.01443,15
0,raw,b,bank,0.41236,0.01184,15
1,impute,b,bank,0.41236,0.01184,15
1,ohe,b,bank,0.4098,0.01318,15
1,winsorize,b,bank,0.38842,0.01284,15
1,boxcox,b,bank,0.43944,0.01626,15
1,scale,b,bank,0.44147,0.01603,15
1,pca90,b,bank,0.40443,0.0123,15
1,pca20,b,bank,0.33027,0.00919,15
2,full_pca90,b,bank,0.41851,0.01615,15
2,full_pca20,b,bank,0.27002,0.00681,15
0,raw,c,bank,0.41236,0.01184,15
1,impute,c,bank,0.41236,0.01184,15
1,ohe,c,bank,0.4098,0.01318,15
1,scale,c,bank,0.44147,0.01603,15
1,domain,c,bank,0.41213,0.0135,15
1,interactions,c,bank,0.44936,0.01696,15
2,full,c,bank,0.45077,0.01513,15
0,raw,d,bank,0.41236,0.01184,15
1,impute,d,bank,0.41236,0.01184,15
1,ohe,d,bank,0.4098,0.01318,15
1,scale,d,bank,0.44147,0.01603,15
1,dae,d,bank,0.42229,0.01729,15
2,full,d,bank,0.42082,0.01421,15
0,raw,e,bank,0.41236,0.01184,15
1,impute,e,bank,0.41236,0.01184,15
1,ohe,e,bank,0.4098,0.01318,15
1,scale,e,bank,0.44147,0.01603,15
1,vae,e,bank,0.4035,0.01934,15
2,full,e,bank,0.40636,0.01557,15
0,raw,f,bank,0.41236,0.01184,15
1,impute,f,bank,0.41236,0.01184,15
1,ohe,f,bank,0.4098,0.01318,15
1,scale,f,bank,0.44147,0.01603,15
1,ftt,f,bank,0.45856,0.01701,15
2,full,f,bank,0.46074,0.01637,15
0,raw,a,retail,0.73496,0.01556,15
1,impute,a,retail,0.73496,0.01556,15
1,ohe,a,retail,0.73496,0.01556,15
1,scale,a,retail,0.76593,0.01834,15
2,full,a,retail,0.76582,0.01826,15
0,raw,b,retail,0.73496,0.01556,15
1,impute,b,retail,0.73496,0.01556,15
1,ohe,b,retail,0.73496,0.01556,15
1,winsorize,b,retail,0.77062,0.01608,15
1,boxcox,b,retail,0.76964,0.01488,15
1,scale,b,retail,0.76593,0.01834,15
1,pca90,b,retail,0.76652,0.01803,15
1,pca20,b,retail,0.75543,0.01713,15
2,full_pca90,b,retail,0.76518,0.01548,15
2,full_pca20,b,retail,0.76356,0.01483,15
0,raw,c,retail,0.73496,0.01556,15
1,impute,c,retail,0.73496,0.01556,15
1,ohe,c,retail,0.73496,0.01556,15
1,scale,c,retail,0.76593,0.01834,15
1,domain,c,retail,0.73496,0.01556,15
1,interactions,c,retail,0.76663,0.01814,15
2,full,c,retail,0.76559,0.01807,15
0,raw,d,retail,0.73496,0.01556,15
1,impute,d,retail,0.73496,0.01556,15
1,ohe,d,retail,0.73496,0.01556,15
1,scale,d,retail,0.76593,0.01834,15
1,dae,d,retail,0.76687,0.0182,15
2,full,d,retail,0.76693,0.01736,15
0,raw,e,retail,0.73496,0.01556,15
1,impute,e,retail,0.73496,0.01556,15
1,ohe,e,retail,0.73496,0.01556,15
1,scale,e,retail,0.76593,0.01834,15
1,vae,e,retail,0.76346,0.01633,15
2,full,e,retail,0.76386,0.01739,15
0,raw,f,retail,0.73496,0.01556,15
1,impute,f,retail,0.73496,0.01556,15
1,ohe,f,retail,0.73496,0.01556,15
1,scale,f,retail,0.76593,0.01834,15
1,ftt,f,retail,0.76784,0.01606,15
2,full,f,retail,0.76613,0.01579,15
