age,class
56,0
57,0
37,0
40,0
56,0
45,0
59,0
41,0
24,0
25,0
41,0
25,0
29,0
57,0
35,0
54,0
35,0
46,0
50,0
39,0
30,0
55,0
55,0
41,0
37,0
35,0
59,0
39,0
54,0
55,0
46,0
59,0
49,0
54,0
54,0
55,0
34,0
52,0
41,0
56,0
58,0
32,0
38,0
57,0
44,0
42,0
57,0
40,0
35,0
45,0
54,0
39,0
60,0
53,0
55,0
55,0
50,0
45,0
55,0
25,0
47,0
51,0
42,0
42,0
48,0
37,0
44,0
33,0
56,0
44,0
41,0
44,0
47,0
57,0
37,0
41,1
55,0
33,0
55,0
42,0
50,0
51,0
38,0
49,1
38,0
31,0
41,0
39,0
49,1
34,0
35,0
57,0
60,0
33,0
42,0
45,0
42,0
53,0
37,0
44,0
54,0
49,0
54,0
52,0
52,0
43,0
34,0
35,0
42,0
43,0
60,0
58,0
35,0
55,0
37,0
36,0
52,0
57,0
56,0
48,0
40,0
49,0
41,0
45,0
32,0
42,0
50,0
31,0
56,0
41,1
37,0
41,0
35,0
37,0
52,0
39,0
39,0
56,0
34,0
45,1
43,0
56,0
39,0
53,0
38,0
42,0
42,0
35,0
40,0
51,0
60,0
56,0
39,0
56,0
40,0
36,0
51,0
51,0
43,0
59,0
24,0
37,0
40,0
42,0
39,0
37,0
38,0
56,0
40,0
54,0
43,0
36,0
45,0
42,0
43,0
46,0
44,0
51,0
28,0
37,0
34,0
46,0
42,1
36,0
54,0
57,0
51,0
54,0
49,0
34,0
41,0
38,0
45,0
42,0
34,0
48,0
37,0
34,0
40,0
43,0
33,0
32,0
39,0
43,0
44,0
35,0
35,0
35,0
36,0
35,0
36,0
55,0
59,0
57,0
39,0
39,0
30,0
30,0
50,0
40,0
35,0
43,0
36,0
46,0
40,0
58,0
42,0
35,0
43,0
45,0
39,0
50,0
32,0
39,0
52,0
44,0
56,0
48,0
33,0
43,0
57,0
36,0
34,0
34,0
30,0
33,0
32,0
36,0
36,0
33,0
40,0
41,0
51,0
36,0
28,0
53,0
58,0
45,0
43,0
33,0
33,0
27,0
42,0
43,0
42,0
27,0
34,0
31,0
54,0
40,0
52,0
47,0
49,0
32,0
49,0
50,0
34,0
55,0
47,0
51,0
47,0
56,0
53,0
36,0
42,0
44,0
39,1
37,0
60,0
36,0
42,0
31,0
53,0
45,0
37,0
47,0
49,0
36,0
35,0
38,0
38,0
50,0
59,0
43,0
42,0
40,0
46,0
57,0
42,0
41,0
54,0
27,0
36,0
58,0
40,0
34,0
33,0
56,0
42,0
43,0
54,0
53,0
42,0
40,0
54,0
40,0
26,0
33,0
35,0
36,0
29,0
36,0
35,0
50,0
46,0
49,0
42,0
36,0
55,0
41,0
57,0
32,0
49,0
57,0
58,0
52,0
50,0
41,0
33,0
57,0
48,0
55,0
38,0
38,0
53,0
43,0
36,0
32,0
33,0
58,0
40,0
57,0
45,0
42,0
46,0
36,0
41,0
57,0
49,0
56,0
37,0
37,0
46,0
22,0
43,0
49,0
41,0
38,0
33,0
49,0
30,0
33,0
34,0
30,0
59,0
59,0
41,0
48,0
28,1
44,1
59,0
50,0
35,0
42,0
45,0
36,0
56,0
29,0
41,0
42,0
52,0
48,0
31,0
43,0
36,0
42,0
52,0
39,0
36,0
42,0
41,0
55,0
30,0
57,0
45,0
51,0
39,0
47,0
27,0
34,0
57,0
43,0
49,0
39,0
38,0
49,0
58,0
43,0
50,0
