duration,class
261,0
149,0
226,0
151,0
307,0
198,0
139,0
217,0
380,0
50,0
55,0
222,0
137,0
293,0
146,0
174,0
312,0
440,0
353,0
195,0
38,0
262,0
342,0
181,0
172,0
99,0
93,0
233,0
255,0
362,0
348,0
386,0
73,0
230,0
208,0
336,0
365,0
1666,0
577,0
137,0
366,0
314,0
160,0
212,0
188,0
22,0
616,0
178,0
355,0
225,0
160,0
266,0
253,0
179,0
269,0
135,0
161,0
787,0
145,0
174,0
449,0
812,0
164,0
366,0
357,0
232,0
91,0
273,0
158,0
177,0
200,0
172,0
176,0
211,0
214,0
1575,1
349,0
337,0
272,0
208,0
193,0
212,0
165,0
1042,1
20,0
246,0
529,0
192,0
1467,1
188,0
180,0
48,0
213,0
545,0
583,0
221,0
426,0
287,0
197,0
257,0
229,0
55,0
400,0
197,0
190,0
21,0
300,0
123,0
293,0
325,0
514,0
849,0
194,0
212,0
337,0
286,0
247,0
518,0
364,0
178,0
98,0
439,0
139,0
79,0
175,0
262,0
61,0
78,0
102,0
579,1
143,0
677,0
267,0
345,0
185,0
207,0
69,0
100,0
125,0
461,1
240,0
70,0
193,0
136,0
73,0
528,0
541,0
338,0
163,0
87,0
301,0
46,0
52,0
204,0
155,0
98,0
71,0
243,0
186,0
579,0
165,0
163,0
46,0
559,0
2033,0
85,0
506,0
114,0
114,0
843,0
181,0
427,0
292,0
192,0
93,0
128,0
107,0
303,0
81,0
270,0
228,0
240,0
673,1
233,0
102,0
461,0
250,0
130,0
252,0
138,0
412,0
179,0
19,0
228,0
55,0
717,0
313,0
289,0
683,0
1077,0
146,0
167,0
356,0
277,0
172,0
218,0
217,0
67,0
291,0
248,0
256,0
286,0
477,0
611,0
471,0
381,0
251,0
408,0
287,0
322,0
216,0
366,0
210,0
288,0
168,0
132,0
64,0
209,0
410,0
177,0
580,0
165,0
127,0
357,0
175,0
300,0
136,0
125,0
189,0
213,0
238,0
124,0
18,0
730,0
40,0
181,0
79,0
142,0
389,0
702,0
151,0
211,0
117,0
232,0
408,0
370,0
179,0
46,0
200,0
50,0
181,0
119,0
361,0
73,0
67,0
350,0
150,0
332,0
611,0
58,0
151,0
89,0
152,0
611,0
110,0
463,0
962,0
102,0
10,0
118,0
92,0
143,0
189,0
75,0
189,0
55,0
935,1
56,0
5,0
225,0
125,0
286,0
206,0
164,0
98,0
446,0
742,0
120,0
122,0
362,0
357,0
200,0
107,0
