euribor3m,class
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,1
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,1
4.857,0
4.857,0
4.857,0
4.857,0
4.857,1
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,1
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,1
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,1
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
4.857,0
