cons.conf.idx_bin_center,cons.conf.idx_count
-50.50125,128
-49.90375,282
-49.30625,204
-48.708749999999995,0
-48.11125,0
-47.51375,0
-46.91625,2458
-46.318749999999994,5794
-45.72125,10
-45.12375,0
-44.52625,0
-43.928749999999994,0
-43.33125,0
-42.73375,6685
-42.136250000000004,3616
-41.53874999999999,4374
-40.94125,715
-40.34375,378
-39.74625,441
-39.14874999999999,0
-38.551249999999996,233
-37.95375,0
-37.35625,303
-36.75875,0
-36.161249999999995,12938
-35.56375,0
-34.96625,264
-34.368750000000006,174
-33.771249999999995,178
-33.17375,172
-32.57625,0
-31.97875,0
-31.38125,770
-30.783749999999998,0
-30.18625,357
-29.588749999999997,267
-28.99125,0
-28.393749999999997,0
-27.79625,0
-27.198749999999997,447
