duration_bin_center,duration_count
61.475,13215
184.425,13342
307.375,6409
430.32500000000005,3153
553.275,1779
676.225,1127
799.175,713
922.125,440
1045.075,318
1168.025,229
1290.975,144
1413.9250000000002,97
1536.875,71
1659.825,38
1782.775,23
1905.725,23
2028.6750000000002,21
2151.625,8
2274.575,6
2397.525,5
2520.4750000000004,4
2643.425,5
2766.375,1
2889.325,2
3012.275,0
3135.2250000000004,4
3258.175,2
3381.125,3
3504.075,1
3627.025,2
3749.9750000000004,1
3872.925,0
3995.875,0
4118.825,0
4241.775,1
4364.725,0
4487.675,0
4610.625,0
4733.575000000001,0
4856.525,1
