emp.var.rate_bin_center,emp.var.rate_count
-3.34,1071
-3.2199999999999998,0
-3.1,0
-2.98,172
-2.86,1663
-2.7399999999999998,0
-2.62,0
-2.5,0
-2.38,0
-2.26,0
-2.14,0
-2.02,0
-1.9,0
-1.7799999999999998,9184
-1.6600000000000001,773
-1.54,0
-1.42,0
-1.2999999999999998,0
-1.18,0
-1.06,635
-0.94,0
-0.8200000000000001,0
-0.7000000000000002,0
-0.5800000000000001,0
-0.45999999999999996,0
-0.33999999999999986,0
-0.21999999999999997,10
-0.10000000000000009,3683
0.020000000000000018,0
0.1399999999999999,0
0.2599999999999998,0
0.3799999999999999,0
0.5,0
0.6200000000000001,0
0.7400000000000002,0
0.8600000000000003,0
0.98,0
1.0999999999999996,7763
1.2199999999999998,0
1.3399999999999999,16234
