euribor3m_bin_center,euribor3m_count
0.6891375,1777
0.7994125,722
0.9096875,1297
1.0199624999999999,446
1.1302375,18
1.2405125,3856
1.3507874999999998,4167
1.4610625,944
1.5713374999999998,114
1.6816125,89
1.7918874999999999,68
1.9021624999999998,0
2.0124375,0
2.1227124999999996,0
2.2329875,0
2.3432625,0
2.4535374999999995,0
2.5638125,0
2.6740874999999997,0
2.7843624999999994,0
2.8946374999999995,0
3.0049124999999997,1
3.1151874999999993,0
3.2254624999999995,0
3.3357374999999996,2
3.4460124999999993,2
3.5562875,2
3.6665624999999995,1
3.776837499999999,2
3.8871124999999997,4
3.9973874999999994,676
4.1076625,2268
4.2179375,623
4.328212499999999,12
4.438487499999999,10
4.5487625,4
4.6590375,17
4.7693125,10
4.8795874999999995,9107
4.989862499999999,14949
