bin_center,count,feature
18.0125,75,age
20.0375,167,age
22.0625,363,age
24.0875,1061,age
26.1125,1549,age
28.1375,2454,age
30.162499999999998,3661,age
32.1875,3679,age
34.2125,3504,age
36.2375,3255,age
38.2625,2839,age
40.287499999999994,2439,age
42.3125,2197,age
44.3375,2114,age
46.3625,1958,age
48.3875,1818,age
50.412499999999994,1629,age
52.4375,1512,age
54.4625,1332,age
56.4875,1350,age
58.5125,1039,age
60.537499999999994,356,age
62.5625,117,age
64.58749999999999,101,age
66.6125,83,age
68.6375,67,age
70.6625,100,age
72.6875,68,age
74.71249999999999,56,age
76.7375,54,age
78.7625,41,age
80.7875,51,age
82.8125,34,age
84.8375,22,age
86.8625,9,age
88.88749999999999,24,age
90.9125,2,age
92.9375,4,age
94.9625,2,age
96.9875,2,age
61.475,13215,duration
184.425,13342,duration
307.375,6409,duration
430.32500000000005,3153,duration
553.275,1779,duration
676.225,1127,duration
799.175,713,duration
922.125,440,duration
1045.075,318,duration
1168.025,229,duration
1290.975,144,duration
1413.9250000000002,97,duration
1536.875,71,duration
1659.825,38,duration
1782.775,23,duration
1905.725,23,duration
2028.6750000000002,21,duration
2151.625,8,duration
2274.575,6,duration
2397.525,5,duration
2520.4750000000004,4,duration
2643.425,5,duration
2766.375,1,duration
2889.325,2,duration
3012.275,0,duration
3135.2250000000004,4,duration
3258.175,2,duration
3381.125,3,duration
3504.075,1,duration
3627.025,2,duration
3749.9750000000004,1,duration
3872.925,0,duration
3995.875,0,duration
4118.825,0,duration
4241.775,1,duration
4364.725,0,duration
4487.675,0,duration
4610.625,0,duration
4733.575000000001,0,duration
4856.525,1,duration
1.6875,28212,campaign
3.0625,5341,campaign
4.4375,4250,campaign
5.8125,979,campaign
7.1875,629,campaign
8.5625,683,campaign
9.9375,225,campaign
11.3125,177,campaign
12.6875,217,campaign
14.0625,69,campaign
15.4375,102,campaign
16.8125,58,campaign
18.1875,33,campaign
19.5625,56,campaign
20.9375,24,campaign
22.3125,17,campaign
23.6875,31,campaign
25.0625,8,campaign
26.4375,19,campaign
27.8125,8,campaign
29.1875,10,campaign
30.5625,14,campaign
31.9375,4,campaign
33.3125,4,campaign
34.6875,8,campaign
36.0625,0,campaign
37.4375,1,campaign
38.8125,1,campaign
40.1875,2,campaign
41.5625,3,campaign
42.9375,2,campaign
44.3125,0,campaign
45.6875,0,campaign
47.0625,0,campaign
48.4375,0,campaign
49.8125,0,campaign
51.1875,0,campaign
52.5625,0,campaign
53.9375,0,campaign
55.3125,1,campaign
12.4875,1512,pdays
37.462500000000006,3,pdays
62.43750000000001,0,pdays
87.41250000000001,0,pdays
112.3875,0,pdays
137.3625,0,pdays
162.33750000000003,0,pdays
187.3125,0,pdays
212.28750000000002,0,pdays
237.2625,0,pdays
262.2375,0,pdays
287.21250000000003,0,pdays
312.1875,0,pdays
337.1625,0,pdays
362.13750000000005,0,pdays
387.1125,0,pdays
412.08750000000003,0,pdays
437.0625,0,pdays
462.0375,0,pdays
487.01250000000005,0,pdays
511.9875,0,pdays
536.9625000000001,0,pdays
561.9375,0,pdays
586.9125000000001,0,pdays
611.8875,0,pdays
636.8625,0,pdays
661.8375000000001,0,pdays
686.8125,0,pdays
711.7875000000001,0,pdays
736.7625,0,pdays
761.7375,0,pdays
786.7125000000001,0,pdays
811.6875,0,pdays
836.6625000000001,0,pdays
861.6375,0,pdays
886.6125,0,pdays
911.5875000000001,0,pdays
936.5625,0,pdays
961.5375000000001,0,pdays
986.5125,39673,pdays
0.0875,35563,previous
0.26249999999999996,0,previous
0.43749999999999994,0,previous
0.6124999999999999,0,previous
0.7875,0,previous
0.9624999999999999,4561,previous
1.1374999999999997,0,previous
1.3125,0,previous
1.4874999999999998,0,previous
1.6625,0,previous
1.8375,0,previous
2.0124999999999997,754,previous
2.1875,0,previous
2.3625,0,previous
2.5374999999999996,0,previous
2.7125,0,previous
2.8874999999999997,0,previous
3.0625,216,previous
3.2375,0,previous
3.4124999999999996,0,previous
3.5875,0,previous
3.7624999999999997,0,previous
3.9374999999999996,70,previous
4.112499999999999,0,previous
4.2875,0,previous
4.4625,0,previous
4.637499999999999,0,previous
4.8125,0,previous
4.987499999999999,18,previous
5.1625,0,previous
5.3375,0,previous
5.512499999999999,0,previous
5.6875,0,previous
5.862499999999999,0,previous
6.0375,5,previous
6.2125,0,previous
6.387499999999999,0,previous
6.5625,0,previous
6.737499999999999,0,previous
6.9125,1,previous
-3.34,1071,emp.var.rate
-3.2199999999999998,0,emp.var.rate
-3.1,0,emp.var.rate
-2.98,172,emp.var.rate
-2.86,1663,emp.var.rate
-2.7399999999999998,0,emp.var.rate
-2.62,0,emp.var.rate
-2.5,0,emp.var.rate
-2.38,0,emp.var.rate
-2.26,0,emp.var.rate
-2.14,0,emp.var.rate
-2.02,0,emp.var.rate
-1.9,0,emp.var.rate
-1.7799999999999998,9184,emp.var.rate
