feature,count,mean,std,min,25%,50%,75%,max
age,41188.0,40.02406040594348,10.421249980934048,17.0,32.0,38.0,47.0,98.0
duration,41188.0,258.2850101971448,259.2792488364648,0.0,102.0,180.0,319.0,4918.0
campaign,41188.0,2.567592502670681,2.7700135429023276,1.0,1.0,2.0,3.0,56.0
pdays,41188.0,962.4754540157328,186.9109073447418,0.0,999.0,999.0,999.0,999.0
previous,41188.0,0.17296299893172767,0.4949010798392897,0.0,0.0,0.0,0.0,7.0
emp.var.rate,41188.0,0.08188550063125165,1.5709597405170255,-3.4,-1.8,1.1,1.4,1.4
cons.price.idx,41188.0,93.57566436826262,0.5788400489541262,92.201,93.075,93.749,93.994,94.767
cons.conf.idx,41188.0,-40.50260027192386,4.628197856174544,-50.8,-42.7,-41.8,-36.4,-26.9
euribor3m,41188.0,3.621290812858114,1.734447404851267,0.634,1.344,4.857,4.961,5.045
nr.employed,41188.0,5167.035910944936,72.25152766826108,4963.6,5099.1,5191.0,5228.1,5228.1
target_bin,41188.0,0.11265417111780131,0.3161734269429649,0.0,0.0,0.0,0.0,1.0
