job,pct_no,pct_yes
student,68.57142857142857,31.428571428571427
retired,74.76744186046511,25.232558139534884
unemployed,85.79881656804734,14.201183431952662
admin.,87.02744194972173,12.972558050278257
management,88.78248974008208,11.21751025991792
unknown,88.7878787878788,11.212121212121213
technician,89.17395817885215,10.826041821147857
self-employed,89.51442646023928,10.48557353976073
housemaid,90.0,10.0
entrepreneur,91.48351648351648,8.516483516483516
services,91.86192995716806,8.138070042831949
blue-collar,93.1056840285282,6.894315971471795
