Monetary_bin_center,Monetary_count
2805.7727,4107
8409.8181,146
14013.8635,32
19617.908900000002,15
25221.954299999998,3
30825.9997,6
36430.0451,5
42034.0905,4
47638.1359,0
53242.1813,3
58846.2267,4
64450.2721,3
70054.3175,0
75658.36290000001,1
81262.4083,1
86866.4537,0
92470.4991,1
98074.5445,0
103678.58989999999,0
109282.6353,0
114886.6807,1
120490.7261,0
126094.7715,1
131698.8169,0
137302.8623,0
142906.9077,1
148510.95309999998,0
154114.9985,0
159719.0439,0
165323.0893,0
170927.1347,1
176531.1801,0
182135.2255,0
187739.2709,0
193343.3163,1
198947.3617,0
204551.4071,0
210155.4525,0
215759.4979,0
221363.5433,0
226967.5887,0
232571.6341,0
238175.6795,0
243779.7249,0
249383.7703,0
254987.8157,0
260591.8611,1
266195.90650000004,0
271799.9519,0
277403.99730000005,1
