Recency_bin_center,Recency_count
4.73,582
12.190000000000001,359
19.65,424
27.11,283
34.57,242
42.03,176
49.489999999999995,182
56.95,148
64.41,159
71.87,142
79.33,108
86.78999999999999,84
94.25,68
101.71000000000001,42
109.17,61
116.63,61
124.09,39
131.55,59
139.01,35
146.47,43
153.93,47
161.39,43
168.85000000000002,39
176.31,52
183.76999999999998,44
191.23000000000002,37
198.69,45
206.14999999999998,28
213.61,47
221.07,33
228.53,27
235.99,45
243.45,45
250.91,31
258.37,42
265.83000000000004,45
273.28999999999996,36
280.75,37
288.21000000000004,27
295.66999999999996,23
303.13,25
310.59000000000003,40
318.04999999999995,28
325.51,20
332.97,28
340.43,8
347.89,1
355.35,23
362.81,37
370.27,58
