bin_center,count,feature
4.73,582,Recency
12.190000000000001,359,Recency
19.65,424,Recency
27.11,283,Recency
34.57,242,Recency
42.03,176,Recency
49.489999999999995,182,Recency
56.95,148,Recency
64.41,159,Recency
71.87,142,Recency
79.33,108,Recency
86.78999999999999,84,Recency
94.25,68,Recency
101.71000000000001,42,Recency
109.17,61,Recency
116.63,61,Recency
124.09,39,Recency
131.55,59,Recency
139.01,35,Recency
146.47,43,Recency
153.93,47,Recency
161.39,43,Recency
168.85000000000002,39,Recency
176.31,52,Recency
183.76999999999998,44,Recency
191.23000000000002,37,Recency
198.69,45,Recency
206.14999999999998,28,Recency
213.61,47,Recency
221.07,33,Recency
228.53,27,Recency
235.99,45,Recency
243.45,45,Recency
250.91,31,Recency
258.37,42,Recency
265.83000000000004,45,Recency
273.28999999999996,36,Recency
280.75,37,Recency
288.21000000000004,27,Recency
295.66999999999996,23,Recency
303.13,25,Recency
310.59000000000003,40,Recency
318.04999999999995,28,Recency
325.51,20,Recency
332.97,28,Recency
340.43,8,Recency
347.89,1,Recency
355.35,23,Recency
362.81,37,Recency
370.27,58,Recency
0.7454849690140499,93,log1p(Recency)
0.8501605459222592,0,log1p(Recency)
0.9548361228304686,0,log1p(Recency)
1.0595116997386778,86,log1p(Recency)
1.1641872766468873,0,log1p(Recency)
1.2688628535550963,0,log1p(Recency)
1.3735384304633058,89,log1p(Recency)
1.478214007371515,0,log1p(Recency)
1.5828895842797244,111,log1p(Recency)
1.6875651611879336,0,log1p(Recency)
1.792240738096143,63,log1p(Recency)
1.8969163150043524,22,log1p(Recency)
2.001591891912562,0,log1p(Recency)
2.106267468820771,42,log1p(Recency)
2.21094304572898,76,log1p(Recency)
2.3156186226371895,67,log1p(Recency)
2.420294199545399,73,log1p(Recency)
2.524969776453608,128,log1p(Recency)
2.629645353361817,18,log1p(Recency)
2.7343209302700267,73,log1p(Recency)
2.838996507178236,125,log1p(Recency)
2.9436720840864457,122,log1p(Recency)
3.0483476609946547,55,log1p(Recency)
3.153023237902864,122,log1p(Recency)
3.2576988148110733,145,log1p(Recency)
3.3623743917192828,97,log1p(Recency)
3.4670499686274923,123,log1p(Recency)
3.5717255455357013,109,log1p(Recency)
3.6764011224439104,112,log1p(Recency)
3.78107669935212,115,log1p(Recency)
3.8857522762603294,92,log1p(Recency)
3.9904278531685384,119,log1p(Recency)
