product,revenue_gbp
"PAPER CRAFT , LITTLE BIRDIE",168469.6
REGENCY CAKESTAND 3 TIER,142592.94999999998
WHITE HANGING HEART T-LIGHT HOLDER,100448.15000000001
JUMBO BAG RED RETROSPOT,85220.78
MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001
POSTAGE,77803.96
PARTY BUNTING,68844.33
ASSORTED COLOUR BIRD ORNAMENT,56580.34
Manual,53779.93
RABBIT NIGHT LIGHT,51346.2
CHILLI LIGHTS,46286.51
PAPER CHAIN KIT 50'S CHRISTMAS ,42660.83
PICNIC BASKET WICKER 60 PIECES,39619.5
BLACK RECORD COVER FRAME,39064.55
JUMBO BAG PINK POLKADOT,37289.590000000004
