dataset,pipeline,train_frac,n_samples,mean_PR_AUC,std_PR_AUC
bank,a,0.1,3295,0.42429,0.01141
bank,a,0.2,6590,0.44011,0.00342
bank,a,0.3,9885,0.44805,0.00419
bank,a,0.4,13180,0.4497,0.00265
bank,a,0.5,16475,0.45351,0.00325
bank,a,0.6,19770,0.4511,0.00441
bank,a,0.7,23065,0.45335,0.00229
bank,a,0.8,26360,0.45576,0.00137
bank,a,0.9,29655,0.4553,0.00162
bank,a,1.0,32950,0.44931,0.01442
bank,b_pca90,0.1,3295,0.39336,0.01375
bank,b_pca90,0.2,6590,0.40348,0.00284
bank,b_pca90,0.3,9885,0.4077,0.00404
bank,b_pca90,0.4,13180,0.40822,0.00297
bank,b_pca90,0.5,16475,0.41172,0.00327
bank,b_pca90,0.6,19770,0.40866,0.00213
bank,b_pca90,0.7,23065,0.41056,0.00119
bank,b_pca90,0.8,26360,0.41242,0.00081
bank,b_pca90,0.9,29655,0.41236,0.00052
bank,b_pca90,1.0,32950,0.40914,0.01263
bank,b_pca20,0.1,3295,0.25565,0.00646
bank,b_pca20,0.2,6590,0.25292,0.00571
bank,b_pca20,0.3,9885,0.25235,0.00412
bank,b_pca20,0.4,13180,0.25147,0.00348
bank,b_pca20,0.5,16475,0.25263,0.00099
bank,b_pca20,0.6,19770,0.25162,0.00135
bank,b_pca20,0.7,23065,0.25139,0.00142
bank,b_pca20,0.8,26360,0.25041,0.00203
bank,b_pca20,0.9,29655,0.25137,0.00106
bank,b_pca20,1.0,32950,0.27242,0.0161
bank,c,0.1,3295,0.4126,0.01301
bank,c,0.2,6590,0.43654,0.0045
bank,c,0.3,9885,0.44427,0.00792
bank,c,0.4,13180,0.4511,0.00462
bank,c,0.5,16475,0.45456,0.00533
bank,c,0.6,19770,0.45358,0.00621
bank,c,0.7,23065,0.45602,0.00307
bank,c,0.8,26360,0.45941,0.0011
bank,c,0.9,29655,0.45977,0.00141
bank,c,1.0,32950,0.44881,0.01495
bank,d,0.1,3295,0.42958,0.00534
bank,d,0.2,6590,0.43198,0.00282
bank,d,0.3,9885,0.43194,0.00241
bank,d,0.4,13180,0.43389,0.001
bank,d,0.5,16475,0.43239,0.0015
bank,d,0.6,19770,0.43341,0.00167
bank,d,0.7,23065,0.43368,0.00184
bank,d,0.8,26360,0.43454,0.00039
bank,d,0.9,29655,0.4339,0.00075
