Pipeline,Model,mean_PR_AUC,std_PR_AUC,mean_ROC_AUC,std_ROC_AUC,mean_F1,std_F1,mean_Precision,std_Precision,mean_Recall,std_Recall,mean_Accuracy,std_Accuracy,mean_Brier,std_Brier,mean_Lift_Top10,std_Lift_Top10,mean_EMV,std_EMV,test_PR_AUC,test_ROC_AUC,test_F1,test_Precision,test_Recall,test_Accuracy,test_Brier,test_Lift_Top10,test_EMV,CV_Runtime_s,Fit_Runtime_s,Peak_Mem_MB,N_Features
A,LGBM,0.470317,0.015017,0.800191,0.005849,0.357925,0.017575,0.660203,0.030962,0.246053,0.016998,0.900678,0.001973,0.077018,0.001054,4.542907,0.106884,17318.666667,1168.84477,0.493342,0.816698,0.364066,0.677419,0.248922,0.902039,0.0743,4.77255,22000.0,142.84,2.68,41.76,62
A,LR,0.449662,0.014515,0.789655,0.007555,0.336513,0.015573,0.659554,0.036095,0.226026,0.011457,0.899605,0.002529,0.078877,0.00121,4.323786,0.1093,15910.0,884.323793,0.465223,0.800983,0.337134,0.69,0.22306,0.90119,0.076845,4.50322,19770.0,85.22,1.75,40.53,62
A,MLP,0.449193,0.013592,0.789071,0.006257,0.454392,0.011355,0.357267,0.014672,0.625001,0.013341,0.830743,0.008223,0.152116,0.005771,4.335475,0.12478,38030.0,859.326979,0.472392,0.802555,0.476566,0.375543,0.65194,0.838674,0.149744,4.62172,50440.0,1473.69,62.59,145.95,62
A,RF,0.467784,0.013836,0.796727,0.006139,0.346729,0.014293,0.661422,0.03328,0.235367,0.013503,0.900162,0.00204,0.077204,0.000942,4.520456,0.088286,16570.666667,924.557552,0.493628,0.812913,0.36479,0.690691,0.247845,0.902768,0.074396,4.78332,21970.0,289.8,3.02,58.04,62
A,XGB,0.467933,0.014594,0.799066,0.006305,0.349258,0.015829,0.655269,0.032836,0.23851,0.014766,0.899959,0.002204,0.077151,0.001034,4.541116,0.102935,16767.333333,1027.051721,0.493468,0.817157,0.370196,0.680115,0.25431,0.902525,0.074307,4.81564,22490.0,95.71,2.0,34.23,62
B (PCA20),LGBM,0.325282,0.010803,0.757824,0.006825,0.111915,0.013284,0.487643,0.029064,0.063307,0.008357,0.88698,0.000836,0.087653,0.000721,3.502153,0.121617,4206.0,581.903281,0.347435,0.764845,0.138318,0.521127,0.079741,0.88808,0.085808,3.73832,6720.0,88.02,1.1,14.65,4
B (PCA20),LR,0.268302,0.009044,0.736552,0.006928,0.0,0.0,0.0,0.0,0.0,0.0,0.887344,7.7e-05,0.091588,0.000546,2.755957,0.129126,0.0,0.0,0.278432,0.748053,0.0,0.0,0.0,0.887351,0.090668,2.85491,0.0,16.94,0.04,11.36,4
B (PCA20),MLP,0.316525,0.010935,0.755447,0.007556,0.353796,0.014334,0.240669,0.015577,0.672064,0.026911,0.722377,0.025863,0.198401,0.011387,3.371952,0.093747,34032.666667,1058.006661,0.323256,0.764721,0.36564,0.247798,0.697198,0.727482,0.194831,3.50131,45060.0,1411.04,37.68,114.51,4
B (PCA20),RF,0.328477,0.010419,0.758848,0.00734,0.135562,0.013434,0.519464,0.034693,0.078034,0.00844,0.887992,0.00116,0.087417,0.000701,3.581167,0.109171,5256.666667,612.636768,0.36585,0.770958,0.138651,0.584,0.078664,0.8899,0.084944,3.84605,6780.0,234.29,2.61,40.07,4
B (PCA20),XGB,0.324421,0.012142,0.758321,0.006865,0.049794,0.009979,0.544887,0.086413,0.02613,0.005401,0.887779,0.000958,0.087815,0.000623,3.485983,0.106296,1774.666667,397.399883,0.348631,0.771522,0.039419,0.527778,0.020474,0.887594,0.086124,3.67368,1730.0,55.74,1.32,4.85,4
B (PCA90),LGBM,0.425664,0.012626,0.781019,0.006798,0.301808,0.01644,0.654503,0.032373,0.196394,0.013372,0.897724,0.001883,0.080787,0.000844,4.16127,0.098958,13806.0,952.161451,0.44966,0.797354,0.318068,0.699634,0.205819,0.900583,0.07807,4.29853,18280.0,150.9,2.31,29.23,34
B (PCA90),LR,0.413471,0.01448,0.780394,0.007003,0.30275,0.018915,0.634261,0.031786,0.199088,0.014932,0.896793,0.00217,0.082269,0.001149,4.111887,0.101671,13924.666667,1084.572771,0.442149,0.790516,0.300166,0.651079,0.195043,0.897548,0.080148,4.32007,17130.0,22.05,0.18,26.45,34
B (PCA90),MLP,0.422098,0.019913,0.782983,0.007279,0.443361,0.016567,0.347414,0.024656,0.616201,0.02277,0.825088,0.015935,0.167053,0.007365,4.125351,0.148071,37069.333333,1009.734524,0.454728,0.798432,0.466977,0.365128,0.647629,0.833455,0.160881,4.44935,49650.0,1749.77,290.59,130.73,34
B (PCA90),RF,0.422365,0.012779,0.781116,0.006286,0.296682,0.017466,0.635845,0.036057,0.193877,0.014929,0.896571,0.001987,0.081124,0.000903,4.093945,0.115185,13562.0,1042.642248,0.453256,0.793995,0.316832,0.676056,0.206897,0.89949,0.078275,4.33085,18280.0,1663.46,38.76,51.03,34
B (PCA90),XGB,0.426388,0.012072,0.781521,0.007021,0.306225,0.013807,0.633904,0.033284,0.202139,0.011481,0.896874,0.00201,0.080815,0.000921,4.142405,0.110495,14134.0,812.762485,0.457263,0.796298,0.334694,0.690236,0.220905,0.901068,0.077703,4.36316,19580.0,178.92,4.0,20.03,34
C,LGBM,0.469593,0.013315,0.799777,0.005273,0.357278,0.014385,0.66068,0.0312,0.245333,0.014649,0.900658,0.001848,0.077079,0.000937,4.529432,0.104028,17269.333333,985.983676,0.494585,0.81693,0.359462,0.677612,0.244612,0.901797,0.074018,4.83719,21620.0,212.29,3.51,82.99,144
C,LR,0.449611,0.01423,0.790079,0.007379,0.332001,0.015923,0.655901,0.033403,0.222435,0.012411,0.899201,0.002336,0.078901,0.001117,4.325579,0.108088,15643.333333,927.390091,0.46203,0.802624,0.332787,0.695205,0.21875,0.90119,0.076893,4.53554,19410.0,987.44,25.04,81.76,144
C,MLP,0.445802,0.012851,0.785575,0.006282,0.445122,0.016706,0.345038,0.02123,0.629217,0.016817,0.822802,0.013768,0.170025,0.006753,4.364177,0.105657,37788.666667,1082.456642,0.477694,0.803699,0.467939,0.362293,0.66056,0.830784,0.161146,4.68636,50510.0,839.29,17.2,190.47,144
C,RF,0.469832,0.013606,0.800603,0.004836,0.360783,0.01426,0.65407,0.025325,0.249555,0.014866,0.900486,0.001462,0.077001,0.001001,4.542916,0.128305,17540.0,995.568753,0.493887,0.81625,0.377622,0.67688,0.261853,0.902768,0.074143,4.77255,23140.0,1061.51,17.89,89.81,144
C,XGB,0.472805,0.012901,0.802013,0.005286,0.329248,0.017092,0.683501,0.029001,0.217228,0.014993,0.900405,0.001687,0.076944,0.000853,4.545616,0.099965,15374.666667,1044.590601,0.49232,0.817766,0.330579,0.70922,0.215517,0.901675,0.074573,4.76177,19180.0,219.26,3.81,75.77,144
D,LGBM,0.430483,0.01453,0.779138,0.00861,0.299418,0.01614,0.668706,0.034332,0.193159,0.012882,0.89825,0.001947,0.080439,0.001046,4.207063,0.089998,13624.666667,922.603975,0.453867,0.79779,0.304422,0.721774,0.192888,0.900704,0.077764,4.40626,17210.0,117.56,1.68,43.45,16
D,LR,0.418466,0.015474,0.773503,0.008725,0.310387,0.014848,0.649141,0.030133,0.204116,0.011307,0.897865,0.002005,0.081286,0.001114,4.166637,0.104128,14331.333333,835.368752,0.454917,0.790716,0.313595,0.693727,0.202586,0.900097,0.078812,4.22311,17970.0,542.69,0.11,161.05,16
D,MLP,0.428092,0.015433,0.784712,0.007839,0.438623,0.020037,0.339944,0.02887,0.623465,0.026346,0.819221,0.020658,0.173194,0.006941,4.170231,0.112106,37168.666667,1065.456754,0.469543,0.807251,0.498123,0.406399,0.643319,0.853969,0.161189,4.66482,50980.0,1170.79,43.37,33.53,16
D,RF,0.425527,0.012168,0.776769,0.008752,0.289143,0.016223,0.68218,0.033827,0.183731,0.012785,0.898321,0.001778,0.080811,0.000937,4.189104,0.101795,12999.333333,905.573746,0.442887,0.794629,0.283232,0.730942,0.175647,0.899854,0.078629,4.21234,15700.0,596.18,1.24,59.89,16
D,XGB,0.430943,0.014529,0.779608,0.008427,0.314004,0.012831,0.655388,0.035048,0.206719,0.010644,0.89829,0.001998,0.080305,0.001121,4.241167,0.102555,14533.333333,755.264066,0.457275,0.798642,0.308466,0.69434,0.198276,0.899854,0.077737,4.35239,17590.0,83.47,1.6,33.53,16
E,LGBM,0.430156,0.0129,0.783815,0.008011,0.258029,0.023469,0.686906,0.032764,0.159216,0.017679,0.897066,0.00181,0.080703,0.000807,4.177429,0.10766,11278.666667,1261.789357,0.458591,0.803529,0.249104,0.739362,0.149784,0.898276,0.078228,4.55708,13410.0,94.22,0.39,38.37,16
E,LR,0.408232,0.019588,0.771259,0.008386,0.27985,0.025986,0.654693,0.042798,0.178251,0.018863,0.896823,0.002635,0.082089,0.00119,4.144209,0.135731,12534.666667,1396.193123,0.437045,0.781216,0.275862,0.689655,0.172414,0.898034,0.0804,4.26621,15280.0,884.46,4.83,161.05,16
