Pipeline,Model,mean_PR_AUC,std_PR_AUC,mean_ROC_AUC,std_ROC_AUC,mean_F1,std_F1,mean_Precision,std_Precision,mean_Recall,std_Recall,mean_Accuracy,std_Accuracy,mean_Brier,std_Brier,mean_Lift_Top10,std_Lift_Top10,mean_EMV,std_EMV,test_PR_AUC,test_ROC_AUC,test_F1,test_Precision,test_Recall,test_Accuracy,test_Brier,test_Lift_Top10,test_EMV,CV_Runtime_s,Fit_Runtime_s,Peak_Mem_MB,N_Features
A,LGBM,0.766393,0.01704,0.732648,0.017333,0.658494,0.022703,0.692695,0.01835,0.627891,0.029979,0.669318,0.018616,0.208288,0.00452,1.865591,0.060251,17641.333333,888.344099,0.761112,0.736928,0.659058,0.693694,0.627717,0.66989,0.207354,1.83264,22080.0,69.26,1.29,17.32,4
A,LR,0.764768,0.017976,0.733009,0.019687,0.655973,0.015983,0.70983,0.01445,0.609977,0.021345,0.674965,0.013062,0.207596,0.005583,1.84747,0.057682,17200.0,626.361374,0.774697,0.752962,0.668605,0.71875,0.625,0.685083,0.201737,1.85959,22100.0,16.72,0.01,8.4,4
A,MLP,0.767693,0.021438,0.733382,0.020864,0.633578,0.026297,0.718985,0.046689,0.573469,0.068073,0.665058,0.017376,0.20726,0.006633,1.849733,0.064495,16176.666667,1776.138133,0.777952,0.756412,0.671449,0.711246,0.63587,0.683702,0.202732,1.83264,22450.0,174.49,6.77,111.82,4
A,RF,0.772127,0.019342,0.737822,0.020518,0.652488,0.020325,0.709246,0.016668,0.604535,0.027195,0.673006,0.015926,0.204639,0.006389,1.863323,0.05648,17044.666667,798.148453,0.773909,0.750943,0.668596,0.71517,0.627717,0.683702,0.202936,1.83264,22180.0,113.41,0.95,8.25,4
A,XGB,0.769757,0.019318,0.737911,0.021207,0.658595,0.015789,0.693387,0.013672,0.627438,0.022373,0.669549,0.012982,0.220922,0.002654,1.845251,0.067993,17630.666667,651.355363,0.769209,0.746126,0.674253,0.707463,0.644022,0.683702,0.219504,1.85959,22720.0,19.61,0.52,2.05,4
B (PCA20),LGBM,0.747152,0.018401,0.714191,0.022872,0.644016,0.026707,0.682999,0.02353,0.610431,0.03897,0.657677,0.020285,0.212205,0.006627,1.813599,0.087248,17112.0,1110.93397,0.75413,0.728997,0.642547,0.687307,0.603261,0.65884,0.208306,1.77874,21190.0,40.28,0.61,12.98,1
B (PCA20),LR,0.762731,0.017407,0.729157,0.021005,0.672956,0.018224,0.675152,0.017155,0.670975,0.022761,0.668628,0.01734,0.210481,0.007072,1.815861,0.082477,18777.333333,688.937761,0.768628,0.745428,0.681319,0.688889,0.673913,0.679558,0.205071,1.80569,23680.0,16.49,0.0,8.33,1
B (PCA20),MLP,0.762225,0.017782,0.727937,0.021421,0.634879,0.032558,0.724902,0.022578,0.567347,0.052728,0.670007,0.01772,0.209941,0.00596,1.815861,0.082477,16043.333333,1472.605401,0.765291,0.73852,0.617124,0.760956,0.519022,0.672652,0.208362,1.80569,18500.0,64.34,0.88,111.79,1
B (PCA20),RF,0.755849,0.017823,0.720998,0.021972,0.638162,0.028698,0.696432,0.027656,0.590703,0.043647,0.660445,0.02102,0.210007,0.006543,1.822641,0.081965,16606.0,1229.191372,0.764281,0.742084,0.638298,0.724138,0.570652,0.671271,0.205885,1.80569,20200.0,43.58,0.19,7.33,1
B (PCA20),XGB,0.756394,0.01874,0.720826,0.022339,0.648282,0.026143,0.685933,0.027356,0.616327,0.041682,0.660789,0.02091,0.218875,0.003151,1.822645,0.085971,17286.0,1162.747977,0.763876,0.736863,0.656069,0.700617,0.616848,0.671271,0.216219,1.83264,21730.0,15.83,0.41,1.95,1
