dataset,pipeline,mechanism,rate,mean_PR_AUC,std_PR_AUC,n_folds,runtime_s
bank,a,baseline,0.0,0.45186,0.01443,15,0.0
bank,a,mcar,0.05,0.44653,0.01541,15,46.7
bank,a,mcar,0.1,0.44473,0.01543,15,41.8
bank,a,mcar,0.2,0.44155,0.0154,15,54.2
bank,a,mcar,0.3,0.4387,0.01566,15,59.5
bank,a,mcar,0.5,0.43258,0.01627,15,52.4
bank,a,mar,0.05,0.4435,0.01633,15,38.2
bank,a,mar,0.1,0.44076,0.01659,15,42.9
bank,a,mar,0.2,0.42997,0.01746,15,40.7
bank,a,mar,0.3,0.43463,0.01652,15,31.3
bank,a,mar,0.5,0.42039,0.01818,15,49.1
bank,a,mnar,0.05,0.43743,0.01659,15,35.6
bank,a,mnar,0.1,0.43006,0.01536,15,34.1
bank,a,mnar,0.2,0.40691,0.01445,15,35.8
bank,a,mnar,0.3,0.40463,0.01447,15,37.2
bank,a,mnar,0.5,0.39521,0.01632,15,33.2
bank,a,outlier,0.01,0.43413,0.01539,15,58.3
bank,a,outlier,0.05,0.41501,0.01696,15,59.9
bank,a,outlier,0.1,0.40725,0.01639,15,58.2
bank,a,outlier,0.2,0.40113,0.01614,15,51.7
bank,a,label_noise,0.05,0.45014,0.01425,15,38.1
bank,a,label_noise,0.1,0.44742,0.01371,15,48.5
bank,a,label_noise,0.2,0.4421,0.01388,15,45.0
bank,a,label_noise,0.3,0.43101,0.01443,15,36.1
