dataset,pipeline,mechanism,rate,mean_PR_AUC,std_PR_AUC,n_folds,runtime_s
bank,b_pca90,baseline,0.0,0.41851,0.01615,15,0.0
bank,b_pca90,mcar,0.05,0.41832,0.01617,15,17.5
bank,b_pca90,mcar,0.1,0.41824,0.01624,15,17.3
bank,b_pca90,mcar,0.2,0.41784,0.01637,15,17.6
bank,b_pca90,mcar,0.3,0.41658,0.01672,15,16.1
bank,b_pca90,mcar,0.5,0.38934,0.01662,15,7.9
bank,b_pca90,mar,0.05,0.41584,0.01644,15,16.7
bank,b_pca90,mar,0.1,0.41567,0.01644,15,17.0
bank,b_pca90,mar,0.2,0.414,0.01648,15,12.7
bank,b_pca90,mar,0.3,0.4073,0.0171,15,15.0
bank,b_pca90,mar,0.5,0.39769,0.01658,15,14.1
bank,b_pca90,mnar,0.05,0.42393,0.0169,15,12.3
bank,b_pca90,mnar,0.1,0.42438,0.01671,15,12.6
bank,b_pca90,mnar,0.2,0.42281,0.0165,15,11.8
bank,b_pca90,mnar,0.3,0.42316,0.01637,15,11.8
bank,b_pca90,mnar,0.5,0.38934,0.01662,15,6.9
bank,b_pca90,outlier,0.01,0.42703,0.01637,15,12.4
bank,b_pca90,outlier,0.05,0.42771,0.01656,15,10.6
bank,b_pca90,outlier,0.1,0.42597,0.01665,15,8.6
bank,b_pca90,outlier,0.2,0.41752,0.01656,15,8.7
bank,b_pca90,label_noise,0.05,0.42001,0.01644,15,16.8
bank,b_pca90,label_noise,0.1,0.42081,0.01648,15,17.0
bank,b_pca90,label_noise,0.2,0.41939,0.0169,15,17.1
bank,b_pca90,label_noise,0.3,0.41055,0.01831,15,17.0
