dataset,pipeline,mechanism,rate,mean_PR_AUC,std_PR_AUC,n_folds,runtime_s
bank,c,baseline,0.0,0.45077,0.01513,15,0.0
bank,c,mcar,0.05,0.44671,0.01535,15,391.3
bank,c,mcar,0.1,0.44602,0.01508,15,393.8
bank,c,mcar,0.2,0.44259,0.01476,15,363.8
bank,c,mcar,0.3,0.44023,0.01563,15,287.8
bank,c,mcar,0.5,0.42957,0.01735,15,242.2
bank,c,mar,0.05,0.28462,0.01475,15,346.3
bank,c,mar,0.1,0.32299,0.01836,15,379.1
bank,c,mar,0.2,0.35359,0.04078,15,360.2
bank,c,mar,0.3,0.41727,0.02314,15,313.8
bank,c,mar,0.5,0.17992,0.06295,15,115.6
bank,c,mnar,0.05,0.34371,0.03534,15,298.2
bank,c,mnar,0.1,0.37855,0.026,15,295.2
bank,c,mnar,0.2,0.37898,0.01818,15,190.7
bank,c,mnar,0.3,0.37726,0.01708,15,169.8
bank,c,mnar,0.5,0.39521,0.01632,15,34.1
bank,c,outlier,0.01,0.4368,0.0161,15,389.5
bank,c,outlier,0.05,0.41835,0.01575,15,367.1
bank,c,outlier,0.1,0.41043,0.0148,15,358.9
bank,c,outlier,0.2,0.40285,0.0152,15,345.3
bank,c,label_noise,0.05,0.44875,0.01525,15,364.4
bank,c,label_noise,0.1,0.4462,0.01483,15,371.9
bank,c,label_noise,0.2,0.43907,0.0162,15,382.3
bank,c,label_noise,0.3,0.41889,0.01611,15,386.8
