dataset,pipeline,mechanism,rate,mean_PR_AUC,std_PR_AUC,n_folds,runtime_s
bank,d,baseline,0.0,0.42736,0.01631,15,0.0
bank,d,mcar,0.05,0.42744,0.01624,15,6.6
bank,d,mcar,0.1,0.42743,0.01626,15,7.3
bank,d,mcar,0.2,0.42778,0.01631,15,7.1
bank,d,mcar,0.3,0.4281,0.01614,15,7.6
bank,d,mcar,0.5,0.41216,0.01398,15,47.4
bank,d,mar,0.05,0.42427,0.01581,15,8.4
bank,d,mar,0.1,0.42445,0.01579,15,8.6
bank,d,mar,0.2,0.42629,0.01598,15,8.6
bank,d,mar,0.3,0.42311,0.01618,15,9.4
bank,d,mar,0.5,0.41099,0.01765,15,55.4
bank,d,mnar,0.05,0.29253,0.00819,15,10.6
bank,d,mnar,0.1,0.29971,0.00882,15,10.2
bank,d,mnar,0.2,0.32684,0.00992,15,10.4
bank,d,mnar,0.3,0.32611,0.00975,15,10.2
bank,d,mnar,0.5,0.30012,0.01585,15,68.0
bank,d,outlier,0.01,0.39688,0.016,15,8.9
bank,d,outlier,0.05,0.37109,0.01573,15,8.9
bank,d,outlier,0.1,0.35897,0.01618,15,9.1
bank,d,outlier,0.2,0.341,0.01456,15,9.0
bank,d,label_noise,0.05,0.42811,0.01625,15,8.9
bank,d,label_noise,0.1,0.42809,0.01609,15,9.0
bank,d,label_noise,0.2,0.42638,0.01636,15,8.9
bank,d,label_noise,0.3,0.42174,0.01632,15,8.9
