dataset,pipeline,mechanism,rate,mean_PR_AUC,std_PR_AUC,n_folds,runtime_s
bank,f,baseline,0.0,0.47606,0.01492,15,0.0
bank,f,mcar,0.05,0.47348,0.01469,15,139.9
bank,f,mcar,0.1,0.47073,0.01409,15,120.9
bank,f,mcar,0.2,0.46503,0.01237,15,128.7
bank,f,mcar,0.3,0.45787,0.01178,15,133.4
bank,f,mcar,0.5,0.44652,0.01359,15,134.0
bank,f,mar,0.05,0.46746,0.0151,15,82.8
bank,f,mar,0.1,0.46581,0.01434,15,81.5
bank,f,mar,0.2,0.4582,0.01409,15,68.6
bank,f,mar,0.3,0.4566,0.01487,15,79.9
bank,f,mar,0.5,0.42533,0.01846,15,124.8
bank,f,mnar,0.05,0.45844,0.01415,15,151.9
bank,f,mnar,0.1,0.45505,0.01514,15,123.7
bank,f,mnar,0.2,0.45794,0.01539,15,105.1
bank,f,mnar,0.3,0.45627,0.01553,15,89.4
bank,f,mnar,0.5,0.39521,0.01547,15,72.5
bank,f,outlier,0.01,0.47586,0.01446,15,141.0
bank,f,outlier,0.05,0.47331,0.01455,15,127.8
bank,f,outlier,0.1,0.47035,0.01416,15,124.0
bank,f,outlier,0.2,0.46623,0.0129,15,119.8
bank,f,label_noise,0.05,0.47509,0.01526,15,134.2
bank,f,label_noise,0.1,0.47363,0.01497,15,128.8
bank,f,label_noise,0.2,0.46863,0.01492,15,106.4
bank,f,label_noise,0.3,0.45946,0.01569,15,96.2
