dataset,pipeline,mechanism,rate,mean_PR_AUC,std_PR_AUC,n_folds,runtime_s
retail,a,baseline,0.0,0.76582,0.01826,15,0.0
retail,a,mcar,0.05,0.7655,0.01832,15,0.3
retail,a,mcar,0.1,0.76468,0.01843,15,0.4
retail,a,mcar,0.2,0.76345,0.0184,15,0.3
retail,a,mcar,0.3,0.76185,0.01849,15,0.4
retail,a,mcar,0.5,0.72109,0.01401,15,0.3
retail,a,mar,0.05,0.76175,0.01865,15,0.5
retail,a,mar,0.1,0.76066,0.0182,15,0.5
retail,a,mar,0.2,0.75931,0.01816,15,0.6
retail,a,mar,0.3,0.75416,0.01757,15,0.6
retail,a,mar,0.5,0.72273,0.01438,15,0.5
retail,a,mnar,0.05,0.76289,0.01559,15,0.3
retail,a,mnar,0.1,0.76234,0.01452,15,0.3
retail,a,mnar,0.2,0.7429,0.02334,15,0.3
retail,a,mnar,0.3,0.66816,0.02164,15,0.3
retail,a,mnar,0.5,0.71246,0.02208,3,0.1
retail,a,outlier,0.01,0.76308,0.01963,15,0.4
retail,a,outlier,0.05,0.75532,0.01823,15,0.3
retail,a,outlier,0.1,0.75023,0.01684,15,0.3
retail,a,outlier,0.2,0.74731,0.01565,15,0.4
retail,a,label_noise,0.05,0.76525,0.01884,15,0.4
retail,a,label_noise,0.1,0.76457,0.01835,15,0.4
retail,a,label_noise,0.2,0.75974,0.0184,15,0.4
retail,a,label_noise,0.3,0.75471,0.01867,15,0.4
