dataset,pipeline,mechanism,rate,mean_PR_AUC,std_PR_AUC,n_folds,runtime_s
retail,b_pca20,baseline,0.0,0.76356,0.01483,15,0.0
retail,b_pca20,mcar,0.05,0.76384,0.01514,15,1.1
retail,b_pca20,mcar,0.1,0.76397,0.01551,15,1.2
retail,b_pca20,mcar,0.2,0.76201,0.0168,15,1.2
retail,b_pca20,mcar,0.3,0.75941,0.01804,15,1.1
retail,b_pca20,mcar,0.5,0.63933,0.0125,15,0.3
retail,b_pca20,mar,0.05,0.76106,0.01653,15,1.3
retail,b_pca20,mar,0.1,0.75847,0.01791,15,1.2
retail,b_pca20,mar,0.2,0.74961,0.0201,15,1.3
retail,b_pca20,mar,0.3,0.73408,0.01557,15,1.2
retail,b_pca20,mar,0.5,0.59201,0.05229,15,0.4
retail,b_pca20,mnar,0.05,0.7611,0.01657,15,1.3
retail,b_pca20,mnar,0.1,0.75939,0.01766,15,1.3
retail,b_pca20,mnar,0.2,0.73875,0.02018,15,1.2
retail,b_pca20,mnar,0.3,0.72181,0.0209,15,1.2
retail,b_pca20,mnar,0.5,0.57031,0.01488,3,0.1
retail,b_pca20,outlier,0.01,0.76033,0.01401,15,0.4
retail,b_pca20,outlier,0.05,0.75936,0.01407,15,0.6
retail,b_pca20,outlier,0.1,0.75821,0.0139,15,0.5
retail,b_pca20,outlier,0.2,0.75504,0.01387,15,0.5
retail,b_pca20,label_noise,0.05,0.76356,0.01483,15,1.3
retail,b_pca20,label_noise,0.1,0.76356,0.01483,15,1.2
retail,b_pca20,label_noise,0.2,0.76356,0.01483,15,1.2
retail,b_pca20,label_noise,0.3,0.76356,0.01483,15,1.3
