dataset,pipeline,mechanism,rate,mean_PR_AUC,std_PR_AUC,n_folds,runtime_s
retail,c,baseline,0.0,0.76559,0.01807,15,0.0
retail,c,mcar,0.05,0.76501,0.01777,15,2.2
retail,c,mcar,0.1,0.76475,0.01711,15,2.6
retail,c,mcar,0.2,0.76328,0.01798,15,2.7
retail,c,mcar,0.3,0.76159,0.01864,15,3.1
retail,c,mcar,0.5,0.71827,0.01332,15,0.8
retail,c,mar,0.05,0.76295,0.01746,15,3.4
retail,c,mar,0.1,0.74557,0.02555,15,3.7
retail,c,mar,0.2,0.75975,0.01595,15,3.2
retail,c,mar,0.3,0.75426,0.01684,15,2.6
retail,c,mar,0.5,0.72005,0.01252,15,0.9
retail,c,mnar,0.05,0.76478,0.01636,15,0.7
retail,c,mnar,0.1,0.75764,0.01418,15,0.6
retail,c,mnar,0.2,0.65017,0.03616,15,0.6
retail,c,mnar,0.3,0.62332,0.02,15,0.6
retail,c,mnar,0.5,0.68951,0.0063,3,0.1
retail,c,outlier,0.01,0.76484,0.01611,15,2.4
retail,c,outlier,0.05,0.75677,0.01524,15,3.1
retail,c,outlier,0.1,0.75063,0.01527,15,2.4
retail,c,outlier,0.2,0.74909,0.01555,15,2.3
retail,c,label_noise,0.05,0.76326,0.01899,15,2.5
retail,c,label_noise,0.1,0.76219,0.01921,15,2.6
retail,c,label_noise,0.2,0.75614,0.02022,15,2.4
retail,c,label_noise,0.3,0.75212,0.01744,15,2.3
