dataset,pipeline,mechanism,rate,mean_PR_AUC,std_PR_AUC,n_folds,runtime_s
retail,d,baseline,0.0,0.76563,0.01829,15,0.0
retail,d,mcar,0.05,0.76497,0.01815,15,7.7
retail,d,mcar,0.1,0.76472,0.01742,15,7.6
retail,d,mcar,0.2,0.76335,0.01813,15,7.6
retail,d,mcar,0.3,0.7616,0.01788,15,7.5
retail,d,mcar,0.5,0.71893,0.01335,15,7.1
retail,d,mar,0.05,0.76108,0.01793,15,7.5
retail,d,mar,0.1,0.75808,0.01791,15,7.5
retail,d,mar,0.2,0.74993,0.01933,15,7.5
retail,d,mar,0.3,0.70355,0.02062,15,7.5
retail,d,mar,0.5,0.72075,0.0122,15,7.7
retail,d,mnar,0.05,0.75822,0.01775,15,0.9
retail,d,mnar,0.1,0.75577,0.0173,15,1.0
retail,d,mnar,0.2,0.74108,0.01565,15,1.0
retail,d,mnar,0.3,0.57361,0.04324,15,1.0
retail,d,mnar,0.5,0.5492,0.08337,15,3.1
retail,d,outlier,0.01,0.76471,0.01913,15,7.6
retail,d,outlier,0.05,0.76141,0.01939,15,7.5
retail,d,outlier,0.1,0.75838,0.02155,15,7.5
retail,d,outlier,0.2,0.75518,0.02032,15,6.8
retail,d,label_noise,0.05,0.76504,0.01829,15,7.5
retail,d,label_noise,0.1,0.7649,0.01919,15,7.4
retail,d,label_noise,0.2,0.76069,0.02445,15,7.5
retail,d,label_noise,0.3,0.75479,0.02554,15,7.5
