dataset,pipeline,mechanism,rate,mean_PR_AUC,std_PR_AUC,n_folds,runtime_s
retail,e,baseline,0.0,0.76585,0.01778,15,0.0
retail,e,mcar,0.05,0.76527,0.01756,15,4.9
retail,e,mcar,0.1,0.76454,0.01744,15,4.7
retail,e,mcar,0.2,0.7632,0.01802,15,4.6
retail,e,mcar,0.3,0.76185,0.01802,15,4.4
retail,e,mcar,0.5,0.72131,0.01446,15,4.0
retail,e,mar,0.05,0.76141,0.0188,15,5.7
retail,e,mar,0.1,0.75997,0.01919,15,5.9
retail,e,mar,0.2,0.75945,0.01872,15,6.0
retail,e,mar,0.3,0.75463,0.01605,15,5.7
retail,e,mar,0.5,0.72567,0.01451,15,6.0
retail,e,mnar,0.05,0.75896,0.01874,15,0.7
retail,e,mnar,0.1,0.76098,0.01838,15,0.8
retail,e,mnar,0.2,0.7562,0.01841,15,0.8
retail,e,mnar,0.3,0.70034,0.01459,15,0.9
retail,e,mnar,0.5,0.55235,0.08848,15,1.2
retail,e,outlier,0.01,0.76413,0.01798,15,5.5
retail,e,outlier,0.05,0.76043,0.01739,15,4.9
retail,e,outlier,0.1,0.75696,0.01716,15,5.1
retail,e,outlier,0.2,0.75508,0.01721,15,4.3
retail,e,label_noise,0.05,0.76577,0.01745,15,5.5
retail,e,label_noise,0.1,0.76546,0.01775,15,5.3
retail,e,label_noise,0.2,0.76258,0.0182,15,5.3
retail,e,label_noise,0.3,0.76105,0.01788,15,5.5
