dataset,pipeline,mechanism,rate,mean_PR_AUC,std_PR_AUC,n_folds,runtime_s
retail,f,baseline,0.0,0.77042,0.01552,15,0.0
retail,f,mcar,0.05,0.7695,0.0165,15,8.7
retail,f,mcar,0.1,0.76863,0.01584,15,9.0
retail,f,mcar,0.2,0.76641,0.0173,15,8.3
retail,f,mcar,0.3,0.76568,0.01801,15,8.0
retail,f,mcar,0.5,0.71917,0.01498,15,7.0
retail,f,mar,0.05,0.76207,0.01671,15,15.6
retail,f,mar,0.1,0.75917,0.02049,15,12.5
retail,f,mar,0.2,0.75696,0.01487,15,10.2
retail,f,mar,0.3,0.7538,0.01348,15,8.0
retail,f,mar,0.5,0.6761,0.06653,15,7.0
retail,f,mnar,0.05,0.76501,0.01733,15,8.1
retail,f,mnar,0.1,0.76114,0.01859,15,7.8
retail,f,mnar,0.2,0.70141,0.05701,15,7.2
retail,f,mnar,0.3,0.73399,0.02315,15,7.6
retail,f,mnar,0.5,0.53637,0.06303,15,7.5
retail,f,outlier,0.01,0.77071,0.01526,15,7.9
retail,f,outlier,0.05,0.76826,0.01499,15,7.9
retail,f,outlier,0.1,0.76501,0.01628,15,8.1
retail,f,outlier,0.2,0.76211,0.01929,15,7.6
retail,f,label_noise,0.05,0.76919,0.01532,15,7.6
retail,f,label_noise,0.1,0.76629,0.0168,15,7.6
retail,f,label_noise,0.2,0.75809,0.02027,15,7.5
retail,f,label_noise,0.3,0.74373,0.02044,15,7.6
