pipeline_a,pipeline_b,mean_a,mean_b,delta,wilcoxon_stat,p_value,significant,cohens_d,ci_lower,ci_upper,effect_size,n_comparisons,alpha_bonferroni
a_lgbm,b_pca20_mlp,0.470317,0.316525,0.153791,0.0,6.1e-05,True,11.7082,10.0306,15.5862,large,595,8.4e-05
a_lgbm,b_pca20_lr,0.470317,0.268302,0.202015,0.0,6.1e-05,True,16.2972,14.3065,21.0361,large,595,8.4e-05
a_lgbm,b_pca20_lgbm,0.470317,0.325282,0.145035,0.0,6.1e-05,True,11.0877,9.6861,14.3205,large,595,8.4e-05
a_lgbm,a_xgb,0.470317,0.467933,0.002384,0.0,6.1e-05,True,0.161,-0.5512,0.8673,negligible,595,8.4e-05
d_xgb,f_lr,0.430943,0.454131,-0.023188,0.0,6.1e-05,True,-1.3166,-2.2951,-0.6955,large,595,8.4e-05
d_xgb,f_lgbm,0.430943,0.455375,-0.024432,0.0,6.1e-05,True,-1.4692,-2.5592,-0.7752,large,595,8.4e-05
d_xgb,e_lr,0.430943,0.408232,0.022711,0.0,6.1e-05,True,1.3169,0.7169,2.2361,large,595,8.4e-05
d_rf,f_xgb,0.425527,0.45718,-0.031653,0.0,6.1e-05,True,-2.1187,-3.1297,-1.5505,large,595,8.4e-05
d_rf,f_rf,0.425527,0.455819,-0.030292,0.0,6.1e-05,True,-1.9076,-2.8816,-1.2907,large,595,8.4e-05
a_lr,b_pca20_mlp,0.449662,0.316525,0.133136,0.0,6.1e-05,True,10.3605,8.4978,14.9262,large,595,8.4e-05
a_lr,b_pca20_lr,0.449662,0.268302,0.18136,0.0,6.1e-05,True,14.9967,12.4538,20.754,large,595,8.4e-05
a_lr,b_pca20_lgbm,0.449662,0.325282,0.12438,0.0,6.1e-05,True,9.7213,7.9469,13.6312,large,595,8.4e-05
a_lr,a_xgb,0.449662,0.467933,-0.018271,0.0,6.1e-05,True,-1.2554,-2.1363,-0.6539,large,595,8.4e-05
a_lr,a_rf,0.449662,0.467784,-0.018123,0.0,6.1e-05,True,-1.2781,-2.1304,-0.6783,large,595,8.4e-05
e_rf,f_rf,0.434155,0.455819,-0.021663,0.0,6.1e-05,True,-1.3014,-2.1652,-0.6773,large,595,8.4e-05
e_lr,f_lr,0.408232,0.454131,-0.045899,0.0,6.1e-05,True,-2.3051,-3.454,-1.6693,large,595,8.4e-05
a_lgbm,d_lgbm,0.470317,0.430483,0.039833,0.0,6.1e-05,True,2.6959,1.9765,4.0951,large,595,8.4e-05
a_lgbm,f_rf,0.470317,0.455819,0.014498,0.0,6.1e-05,True,0.8501,0.1923,1.8229,large,595,8.4e-05
a_lgbm,a_mlp,0.470317,0.449193,0.021124,0.0,6.1e-05,True,1.4749,0.8696,2.4245,large,595,8.4e-05
a_lgbm,f_lgbm,0.470317,0.455375,0.014942,0.0,6.1e-05,True,0.887,0.2477,1.7962,large,595,8.4e-05
a_lgbm,e_xgb,0.470317,0.432861,0.037455,0.0,6.1e-05,True,2.6118,2.0272,3.6794,large,595,8.4e-05
a_lgbm,e_rf,0.470317,0.434155,0.036161,0.0,6.1e-05,True,2.4852,1.8867,3.5444,large,595,8.4e-05
a_lgbm,e_mlp,0.470317,0.422079,0.048238,0.0,6.1e-05,True,3.1168,2.4822,4.366,large,595,8.4e-05
a_lgbm,e_lr,0.470317,0.408232,0.062085,0.0,6.1e-05,True,3.5573,2.8376,5.0443,large,595,8.4e-05
a_lgbm,e_lgbm,0.470317,0.430156,0.04016,0.0,6.1e-05,True,2.8689,2.2602,4.0482,large,595,8.4e-05
a_lgbm,d_xgb,0.470317,0.430943,0.039374,0.0,6.1e-05,True,2.6649,2.0019,3.9358,large,595,8.4e-05
d_lgbm,f_xgb,0.430483,0.45718,-0.026697,0.0,6.1e-05,True,-1.6727,-2.8026,-1.0342,large,595,8.4e-05
d_lgbm,f_rf,0.430483,0.455819,-0.025335,0.0,6.1e-05,True,-1.5042,-2.5566,-0.8482,large,595,8.4e-05
d_lgbm,f_mlp,0.430483,0.454323,-0.02384,0.0,6.1e-05,True,-1.4086,-2.4947,-0.7459,large,595,8.4e-05
a_lr,d_lgbm,0.449662,0.430483,0.019178,0.0,6.1e-05,True,1.3206,0.6776,2.4704,large,595,8.4e-05
a_lr,c_xgb,0.449662,0.472805,-0.023143,0.0,6.1e-05,True,-1.6854,-2.6495,-1.0921,large,595,8.4e-05
a_lr,c_rf,0.449662,0.469832,-0.02017,0.0,6.1e-05,True,-1.4338,-2.3394,-0.8456,large,595,8.4e-05
a_lr,c_lgbm,0.449662,0.469593,-0.019931,0.0,6.1e-05,True,-1.431,-2.3323,-0.8566,large,595,8.4e-05
a_lr,b_pca90_xgb,0.449662,0.426388,0.023273,0.0,6.1e-05,True,1.7434,1.1054,2.7753,large,595,8.4e-05
a_lr,b_pca90_rf,0.449662,0.422365,0.027297,0.0,6.1e-05,True,1.9961,1.3572,3.0863,large,595,8.4e-05
a_lr,b_pca90_mlp,0.449662,0.422098,0.027563,0.0,6.1e-05,True,1.5819,1.0501,2.5363,large,595,8.4e-05
a_lr,b_pca90_lr,0.449662,0.413471,0.03619,0.0,6.1e-05,True,2.4963,1.8594,3.6245,large,595,8.4e-05
a_lr,b_pca90_lgbm,0.449662,0.425664,0.023998,0.0,6.1e-05,True,1.7641,1.1368,2.8334,large,595,8.4e-05
a_lr,b_pca20_xgb,0.449662,0.324421,0.125241,0.0,6.1e-05,True,9.3592,7.6279,13.4198,large,595,8.4e-05
a_lr,b_pca20_rf,0.449662,0.328477,0.121184,0.0,6.1e-05,True,9.5918,7.8289,13.4752,large,595,8.4e-05
a_lgbm,b_pca90_mlp,0.470317,0.422098,0.048218,0.0,6.1e-05,True,2.7341,2.1989,3.8482,large,595,8.4e-05
a_lgbm,b_pca90_lr,0.470317,0.413471,0.056845,0.0,6.1e-05,True,3.8537,3.2376,5.1578,large,595,8.4e-05
a_lgbm,b_pca90_lgbm,0.470317,0.425664,0.044653,0.0,6.1e-05,True,3.2186,2.613,4.4125,large,595,8.4e-05
a_lgbm,b_pca20_xgb,0.470317,0.324421,0.145896,0.0,6.1e-05,True,10.6841,9.1223,14.0122,large,595,8.4e-05
a_lgbm,b_pca20_rf,0.470317,0.328477,0.141839,0.0,6.1e-05,True,10.9749,9.5405,14.1779,large,595,8.4e-05
a_mlp,b_pca20_mlp,0.449193,0.316525,0.132668,0.0,6.1e-05,True,10.7552,9.0359,14.5367,large,595,8.4e-05
a_mlp,b_pca20_lr,0.449193,0.268302,0.180891,0.0,6.1e-05,True,15.6692,13.5705,20.2424,large,595,8.4e-05
a_mlp,b_pca20_lgbm,0.449193,0.325282,0.123911,0.0,6.1e-05,True,10.093,8.6983,13.138,large,595,8.4e-05
a_mlp,a_xgb,0.449193,0.467933,-0.01874,0.0,6.1e-05,True,-1.3289,-2.2163,-0.6773,large,595,8.4e-05
a_mlp,a_rf,0.449193,0.467784,-0.018591,0.0,6.1e-05,True,-1.3556,-2.2499,-0.6911,large,595,8.4e-05
