pipeline_a,pipeline_b,mean_a,mean_b,delta,wilcoxon_stat,p_value,significant,cohens_d,ci_lower,ci_upper,effect_size,n_comparisons,alpha_bonferroni
a_lgbm,b_pca90_lgbm,0.766393,0.750119,0.016274,0.0,6.1e-05,True,0.8717,0.1503,1.673,large,595,8.4e-05
c_xgb,e_lgbm,0.779678,0.759278,0.020401,0.0,6.1e-05,True,1.0932,0.4018,1.9076,large,595,8.4e-05
c_xgb,e_mlp,0.779678,0.762259,0.01742,0.0,6.1e-05,True,0.8713,0.1692,1.5844,large,595,8.4e-05
c_xgb,e_lr,0.779678,0.759518,0.020161,0.0,6.1e-05,True,1.0,0.3542,1.7116,large,595,8.4e-05
c_xgb,e_rf,0.779678,0.761241,0.018438,0.0,6.1e-05,True,1.0097,0.3448,1.7501,large,595,8.4e-05
c_xgb,e_xgb,0.779678,0.761322,0.018356,0.0,6.1e-05,True,0.9874,0.3095,1.7726,large,595,8.4e-05
c_xgb,d_lr,0.779678,0.762855,0.016824,0.0,6.1e-05,True,0.9036,0.2093,1.6576,large,595,8.4e-05
c_xgb,f_lgbm,0.779678,0.762578,0.017101,0.0,6.1e-05,True,0.9367,0.2174,1.7298,large,595,8.4e-05
c_xgb,d_xgb,0.779678,0.763116,0.016562,0.0,6.1e-05,True,0.9167,0.2429,1.6477,large,595,8.4e-05
a_lr,b_pca20_lgbm,0.764768,0.747152,0.017616,0.0,6.1e-05,True,0.9685,0.2303,1.8279,large,595,8.4e-05
c_xgb,d_mlp,0.779678,0.762767,0.016911,0.0,6.1e-05,True,0.8725,0.2197,1.6032,large,595,8.4e-05
c_xgb,d_rf,0.779678,0.764098,0.015581,0.0,6.1e-05,True,0.8735,0.1621,1.6651,large,595,8.4e-05
a_lr,c_lgbm,0.764768,0.775723,-0.010955,0.0,6.1e-05,True,-0.5831,-1.371,0.0782,medium,595,8.4e-05
b_pca20_xgb,c_lr,0.756394,0.776564,-0.020171,0.0,6.1e-05,True,-1.1296,-1.9672,-0.5242,large,595,8.4e-05
b_pca20_xgb,b_pca90_xgb,0.756394,0.747007,0.009387,0.0,6.1e-05,True,0.5012,-0.2378,1.3257,medium,595,8.4e-05
a_lr,c_rf,0.764768,0.778891,-0.014123,0.0,6.1e-05,True,-0.7579,-1.5953,-0.1004,medium,595,8.4e-05
c_rf,d_rf,0.778891,0.764098,0.014793,0.0,6.1e-05,True,0.7971,0.074,1.5825,medium,595,8.4e-05
c_rf,d_mlp,0.778891,0.762767,0.016124,0.0,6.1e-05,True,0.8042,0.1213,1.5332,large,595,8.4e-05
c_rf,d_lgbm,0.778891,0.760065,0.018826,0.0,6.1e-05,True,0.9728,0.251,1.8763,large,595,8.4e-05
b_pca20_xgb,c_lgbm,0.756394,0.775723,-0.019329,0.0,6.1e-05,True,-1.009,-1.8676,-0.3653,large,595,8.4e-05
