,importance
nr.employed,0.3827995
month_oct,0.03864278
poutcome_success,0.037717577
emp.var.rate,0.036492974
pdays,0.029215816
cons.conf.idx,0.020943008
contact_telephone,0.020721328
month_may,0.017802214
euribor3m,0.017512087
contact_cellular,0.014090768
poutcome_failure,0.012423564
job_retired,0.011831703
default_unknown,0.011022292
month_mar,0.010794865
cons.price.idx,0.0107263215
default_no,0.010417573
day_of_week_mon,0.009750279
poutcome_nonexistent,0.009409769
month_apr,0.00840403
day_of_week_fri,0.008373612
month_nov,0.008034053
education_basic.9y,0.007945808
job_services,0.007943508
job_entrepreneur,0.007930179
job_technician,0.007906172
day_of_week_tue,0.007871893
campaign,0.007731668
loan_yes,0.0075217527
month_jun,0.0074972473
job_self-employed,0.007494555
job_unknown,0.007492641
job_blue-collar,0.0074623413
age,0.0073977835
month_jul,0.0073924838
loan_no,0.0072713005
education_unknown,0.007191099
day_of_week_thu,0.007165964
education_high.school,0.0070749554
previous,0.007039625
day_of_week_wed,0.0068740975
housing_unknown,0.0068410784
job_management,0.0068254573
month_aug,0.006765871
month_dec,0.0067649963
education_basic.6y,0.0067233094
education_professional.course,0.006685785
job_housemaid,0.006601928
education_university.degree,0.0065810294
marital_divorced,0.0065066703
job_student,0.0064807
marital_unknown,0.006399202
loan_unknown,0.006392444
education_basic.4y,0.006350175
marital_single,0.0063321507
job_unemployed,0.006126063
month_sep,0.00603197
marital_married,0.005914476
housing_yes,0.005881533
job_admin.,0.00567495
housing_no,0.0056498847
education_illiterate,0.0031391566
default_yes,0.0
