,importance
PC1,0.14712216
PC12,0.076197505
PC30,0.047314033
PC5,0.034933686
PC11,0.032366313
PC14,0.031516675
PC25,0.02748377
PC20,0.027366558
PC2,0.027279962
PC32,0.026260884
PC34,0.026002113
PC33,0.02536613
PC8,0.024858173
PC21,0.024646252
PC3,0.023568971
PC22,0.023147214
PC27,0.022927685
PC13,0.022618892
PC10,0.022384245
PC19,0.022269731
PC7,0.021840017
PC15,0.021154415
PC29,0.020955293
PC31,0.020878235
PC18,0.020861734
PC28,0.020819973
PC4,0.020340042
PC17,0.019947357
PC24,0.01992644
PC23,0.019902315
PC6,0.019868093
PC16,0.019606894
PC9,0.019558422
PC26,0.018709777
