,importance
ftt_42,0.21838118
ftt_61,0.06220016
ftt_33,0.061584663
ftt_31,0.05317334
ftt_32,0.01797612
ftt_3,0.017027657
ftt_40,0.013969841
ftt_54,0.012718205
ftt_29,0.012535806
ftt_39,0.012141625
ftt_6,0.011587726
ftt_10,0.011339657
ftt_63,0.011130942
ftt_11,0.011097004
ftt_34,0.010736217
ftt_48,0.010679423
ftt_16,0.010365567
ftt_41,0.010235762
ftt_28,0.010221266
ftt_51,0.010173702
ftt_57,0.010057712
ftt_22,0.009928453
ftt_55,0.009907233
ftt_50,0.009890785
ftt_47,0.009837768
ftt_21,0.009810987
ftt_49,0.009731808
ftt_53,0.009689106
ftt_4,0.009677325
ftt_59,0.009609844
ftt_1,0.009607694
ftt_46,0.009587274
ftt_30,0.009466886
ftt_25,0.009445197
ftt_38,0.009443156
ftt_20,0.009414664
ftt_18,0.00940188
ftt_13,0.0093861595
ftt_2,0.009380245
ftt_14,0.0093604475
ftt_12,0.0093568275
ftt_15,0.009353847
ftt_24,0.009334128
ftt_60,0.009279251
ftt_23,0.009269141
ftt_43,0.009233001
ftt_62,0.009229092
ftt_45,0.009212488
ftt_58,0.009153592
ftt_0,0.00913892
ftt_35,0.009121123
ftt_17,0.009120628
ftt_27,0.009086168
ftt_44,0.0090676835
ftt_52,0.009051249
ftt_7,0.009042192
ftt_5,0.009040093
ftt_36,0.009033777
ftt_9,0.008953238
ftt_37,0.008866801
ftt_26,0.008832728
ftt_8,0.008805651
ftt_19,0.008764318
ftt_56,0.008743609
