,importance
ftt_53,0.053557858
ftt_14,0.04820168
ftt_40,0.042789377
ftt_33,0.042345084
ftt_19,0.037041347
ftt_46,0.02429925
ftt_55,0.024272004
ftt_11,0.021200137
ftt_36,0.020219127
ftt_59,0.019684307
ftt_44,0.018670099
ftt_39,0.017139921
ftt_41,0.01710545
ftt_38,0.01699217
ftt_60,0.013961008
ftt_45,0.013884404
ftt_3,0.013800436
ftt_2,0.01352842
ftt_21,0.013341549
ftt_18,0.013271037
ftt_63,0.013244764
ftt_50,0.013077055
ftt_15,0.01304429
ftt_13,0.012777197
ftt_25,0.012616486
ftt_62,0.012577007
ftt_32,0.01252926
ftt_26,0.01250902
ftt_51,0.012377787
ftt_47,0.012371906
ftt_31,0.0123361945
ftt_30,0.012329156
ftt_8,0.012157648
ftt_52,0.01212786
ftt_29,0.012008534
ftt_0,0.011982689
ftt_49,0.011854373
ftt_54,0.011842672
ftt_28,0.011790104
ftt_4,0.01178014
ftt_42,0.011724712
ftt_1,0.01171525
ftt_12,0.011684332
ftt_27,0.011654022
ftt_6,0.011587842
ftt_48,0.011549363
ftt_5,0.011538335
ftt_37,0.011530254
ftt_61,0.011527162
ftt_35,0.011463512
ftt_56,0.011460196
ftt_57,0.011418427
ftt_43,0.01141054
ftt_22,0.01138235
ftt_23,0.011318165
ftt_34,0.011309578
ftt_10,0.011177048
ftt_20,0.011022621
ftt_58,0.010922014
ftt_9,0.010403155
ftt_16,0.010389734
ftt_24,0.01024887
ftt_17,0.009711068
ftt_7,0.009212667
